"Points:0","Points:1","Points:2"
-0.005019,-0.003037,-0.001545
-0.005334,-0.002381,-0.000957
-0.004419,-0.002626,-0.001626
-0.003707,-0.00328,-0.001056
-0.003523,-0.002644,-0.0013
-0.002567,-0.003346,-0.001085
-0.002529,-0.002303,-0.00116
-0.00184,-0.0032,-0.001694
-0.001612,-0.002992,-0.001063
-0.001141,-0.003193,-0.001124
0.000101,-0.003285,-0.001108
0.000532,-0.003285,-0.001525
0.000824,-0.003016,-0.001654
0.001414,-0.002816,-0.001227
0.001911,-0.002273,-0.00154
-0.019667,-0.000951,-0.001169
-0.019001,-0.001669,-0.001143
-0.018771,-0.001868,-0.001255
-0.017563,-0.000878,-0.001356
-0.018065,-0.001323,-0.001077
-0.016287,-0.001958,-0.001469
-0.017238,-0.001371,-0.001141
-0.016302,-0.000965,-0.001198
-0.015634,-0.000934,-0.00125
-0.014958,-0.001489,-0.001203
-0.014456,-0.001859,-0.001103
-0.01371,-0.00197,-0.000942
-0.012456,-0.001637,-0.000932
-0.012155,-0.001783,-0.00145
-0.011416,-0.001139,-0.001483
-0.0114,-0.001686,-0.000796
-0.010394,-0.001319,-0.001492
-0.011053,-0.001393,-0.000991
-0.010714,-0.000938,-0.001169
-0.009801,-0.001518,-0.001796
-0.009245,-0.002051,-0.00161
-0.009338,-0.001541,-0.001137
-0.008616,-0.001874,-0.00126
-0.007495,-0.001492,-0.001779
-0.008326,-0.001055,-0.001194
-0.008194,-0.001637,-0.001213
-0.007304,-0.001055,-0.001286
-0.007212,-0.001288,-0.00149
-0.005611,-0.00141,-0.001695
-0.005829,-0.00135,-0.001061
-0.004324,-0.001828,-0.001831
-0.00373,-0.00137,-0.001692
-0.003711,-0.000917,-0.001768
-0.004497,-0.002045,-0.000854
-0.003975,-0.001107,-0.001165
-0.002329,-0.001445,-0.001793
-0.002983,-0.001927,-0.00126
-0.002147,-0.001244,-0.00111
-0.001026,-0.001813,-0.001046
-0.000115,-0.001456,-0.001778
-0.000567,-0.002053,-0.001258
-0.000314,-0.001057,-0.001119
0.000885,-0.001826,-0.001161
0.002857,-0.000994,-0.00182
0.002087,-0.001475,-0.001131
0.003259,-0.001657,-0.001187
-0.01924,-0.000621,-0.001548
-0.019765,-3.1e-05,-0.0006
-0.019716,8.2e-05,-0.001172
-0.018056,-0.000658,-0.001416
-0.018498,1.4e-05,-0.000675
-0.016835,-0.0002,-0.001743
-0.017008,-0.000733,-0.001301
-0.015775,0.000344,-0.001733
-0.015987,0.000373,-0.001001
-0.01527,-9.1e-05,-0.001102
-0.014404,0.000225,-0.00099
-0.013569,2.5e-05,-0.001811
-0.013529,-0.000457,-0.001719
-0.012899,-0.000382,-0.000875
-0.011901,-0.000476,-0.001665
-0.011102,-0.000301,-0.001391
-0.012306,7.9e-05,-0.000981
-0.012323,-0.000274,-0.000914
-0.011899,-0.00013,-0.001219
-0.01114,0.000251,-0.001171
-0.010285,-0.00021,-0.001174
-0.009977,0.000219,-0.001235
-0.010478,0.000393,-0.001121
-0.009262,-0.000702,-0.001036
-0.008682,0.000273,-0.00125
-0.008811,-0.000475,-0.001137
-0.007281,-5.3e-05,-0.001419
-0.008179,0.000194,-0.001202
-0.007811,-0.000245,-0.001196
-0.006314,0.00012,-0.001776
-0.006474,-0.000842,-0.001214
-0.006684,0.000117,-0.001002
-0.005098,-0.000479,-0.001593
-0.005173,-0.000615,-0.001061
-0.004617,0.000167,-0.001607
-0.003838,-0.000416,-0.001297
-0.003335,2.8e-05,-0.00123
-0.002919,-0.000203,-0.001055
-0.002295,-0.000327,-0.00131
-0.001239,0.000162,-0.001258
-0.001513,-0.000348,-0.00122
-0.000326,-0.000267,-0.001493
0.000161,6.8e-05,-0.00112
0.000834,-0.000661,-0.000909
0.001196,0.000288,-0.000958
0.002192,-0.000169,-0.001401
0.003933,-0.000397,-0.001513
0.003056,-0.000501,-0.001347
0.003123,6.1e-05,-0.001107
-0.019606,0.000586,-0.001389
-0.019365,0.001034,-0.001724
-0.019042,0.001608,-0.001371
-0.019675,0.001319,-0.000673
-0.017565,0.000568,-0.001302
-0.018444,0.000978,-0.00092
-0.018127,0.0006,-0.001072
-0.017969,0.00156,-0.00104
-0.017125,0.000897,-0.001712
-0.01648,0.001657,-0.001753
-0.016724,0.000416,-0.001075
-0.016164,0.000952,-0.001066
-0.016094,0.00162,-0.000894
-0.015504,0.001642,-0.000925
-0.013699,0.001433,-0.001495
-0.014648,0.000975,-0.001083
-0.013196,0.000867,-0.00172
-0.013179,0.001373,-0.001033
-0.012522,0.000671,-0.001076
-0.011888,0.000468,-0.00119
-0.012064,0.001331,-0.001067
-0.01157,0.001211,-0.001231
-0.009886,0.000559,-0.001232
-0.010161,0.000918,-0.001049
-0.010076,0.001609,-0.00102
-0.009298,0.000711,-0.001737
-0.009703,0.001146,-0.001171
-0.009302,0.000815,-0.001172
-0.00922,0.001368,-0.00118
-0.007686,0.000561,-0.001379
-0.008128,0.001452,-0.001296
-0.006709,0.001451,-0.001516
-0.007136,0.000881,-0.001266
-0.006228,0.000867,-0.001033
-0.00619,0.001556,-0.001042
-0.00564,0.00065,-0.001542
-0.005058,0.000508,-0.001139
-0.005695,0.000475,-0.001307
-0.005077,0.001574,-0.000965
-0.004882,0.001134,-0.001279
-0.004388,0.001473,-0.001415
-0.004201,0.001159,-0.00149
-0.004197,0.000523,-0.001248
-0.003478,0.001024,-0.001345
-0.003171,0.000825,-0.001798
-0.002993,0.001429,-0.001363
-0.002835,0.001035,-0.001052
-0.00114,0.000423,-0.001756
-0.002045,0.00105,-0.001582
-0.001403,0.001536,-0.001428
-0.002133,0.00087,-0.001015
-0.000998,0.00114,-0.001253
-0.000328,0.001268,-0.001593
0.000169,0.000821,-0.001517
0.001448,0.000818,-0.001332
0.00095,0.001205,-0.001015
0.002283,0.001483,-0.001612
0.002512,0.000978,-0.001104
0.00267,0.001667,-0.001111
0.004254,0.000579,-0.001154
-0.019067,0.002429,-0.001749
-0.018381,0.002921,-0.001482
-0.018718,0.002434,-0.000917
-0.01791,0.002002,-0.001057
-0.017511,0.002787,-0.00068
-0.017059,0.002056,-0.001434
-0.017309,0.002078,-0.000918
-0.016438,0.002842,-0.001179
-0.016188,0.00217,-0.001006
-0.014996,0.00251,-0.001638
-0.01577,0.002564,-0.000959
-0.015166,0.002509,-0.001254
-0.015171,0.002698,-0.000905
-0.01385,0.00253,-0.00176
-0.01456,0.001779,-0.001118
-0.013732,0.001691,-0.001066
-0.012827,0.001696,-0.001135
-0.013419,0.002712,-0.001181
-0.012686,0.00224,-0.00114
-0.012155,0.002896,-0.001481
-0.011632,0.00279,-0.001662
-0.012235,0.002295,-0.001129
-0.010633,0.001683,-0.001404
-0.010691,0.002927,-0.001455
-0.010976,0.002111,-0.000863
-0.010374,0.002381,-0.000966
-0.009241,0.001711,-0.001213
-0.009701,0.002672,-0.001248
-0.009648,0.002158,-0.001209
-0.008893,0.001926,-0.001189
-0.008594,0.002485,-0.001243
-0.007468,0.002291,-0.001597
-0.007513,0.001841,-0.000646
-0.008324,0.00215,-0.001257
-0.0074,0.00225,-0.001152
-0.006526,0.001822,-0.001401
-0.006366,0.002878,-0.001549
-0.005132,0.002301,-0.001446
-0.00572,0.001918,-0.001095
-0.005432,0.002877,-0.001203
-0.004153,0.002036,-0.00162
-0.003628,0.002709,-0.001811
-0.004558,0.002915,-0.001011
-0.002931,0.002797,-0.001303
-0.002489,0.001923,-0.001219
-0.002607,0.002854,-0.001188
-0.001663,0.001934,-0.001486
-0.001745,0.00263,-0.001188
-0.001081,0.00268,-0.001129
6.7e-05,0.002139,-0.001465
-0.000171,0.002921,-0.001475
-0.000484,0.002302,-0.001234
0.000675,0.002069,-0.001793
0.000758,0.002012,-0.001303
0.001594,0.002575,-0.001036
0.002072,0.002381,-0.001175
0.003096,0.002267,-0.001845
0.0038,0.002171,-0.001154
0.004556,0.002863,-0.0015
-0.019146,0.003748,-0.001653
-0.01944,0.004017,-0.001008
-0.017959,0.003246,-0.001409
-0.018319,0.004182,-0.001122
-0.017991,0.00378,-0.000927
-0.017118,0.003973,-0.001616
-0.01631,0.003159,-0.001801
-0.01707,0.003012,-0.001172
-0.017366,0.003386,-0.001003
-0.016546,0.003561,-0.001288
-0.016141,0.003147,-0.000972
-0.01603,0.003749,-0.000918
-0.015381,0.003237,-0.000964
-0.014381,0.003437,-0.001381
-0.014729,0.00357,-0.000892
-0.014116,0.003135,-0.001024
-0.013652,0.003532,-0.001055
-0.01317,0.003744,-0.001485
-0.013054,0.003582,-0.001142
-0.011875,0.003321,-0.001168
-0.011593,0.003959,-0.001108
-0.011163,0.003674,-0.001078
-0.010186,0.003716,-0.001379
-0.009839,0.003889,-0.001429
-0.010229,0.003057,-0.001118
-0.010548,0.003563,-0.001257
-0.008844,0.003385,-0.001705
-0.009484,0.003642,-0.001361
-0.009388,0.002997,-0.001269
-0.009089,0.003647,-0.000695
-0.008068,0.00309,-0.001503
-0.007708,0.003888,-0.001439
-0.00702,0.00315,-0.001011
-0.006851,0.003393,-0.00126
-0.005707,0.003117,-0.001394
-0.005656,0.003729,-0.001355
-0.00456,0.003686,-0.00127
-0.003476,0.003224,-0.001136
-0.002674,0.003138,-0.001825
-0.003263,0.003801,-0.0012
-0.001181,0.003681,-0.001753
-0.00166,0.003418,-0.001184
-0.001118,0.004086,-0.000951
0.000334,0.003089,-0.001329
-0.000183,0.003933,-0.001005
0.001106,0.00335,-0.001103
0.002848,0.003538,-0.001644
0.002859,0.002995,-0.001154
0.002113,0.004126,-0.00122
0.003912,0.003995,-0.001251
-0.019344,0.004993,-0.001554
-0.018923,0.004377,-0.001176
-0.018028,0.004451,-0.001587
-0.018634,0.005422,-0.001272
