"Points_X","Points_Y"
-0.045294,-0.008923
-0.045293,-0.000138
-0.045276,0.001374
-0.045151,0.002556
-0.045131,-0.007761
-0.045121,-0.001179
-0.045091,-0.003373
-0.045047,-0.005788
-0.045024,0.005014
-0.04493,0.006322
-0.04492,-0.004951
-0.044893,-0.001425
-0.044882,-0.005312
-0.044865,0.003118
-0.044848,-0.007505
-0.044838,0.007053
-0.04474,0.004031
-0.044725,0.010159
-0.044711,-0.010551
-0.044689,0.001092
-0.044647,0.007717
-0.044631,-0.009741
-0.044573,0.001931
-0.044541,0.004585
-0.044481,-0.008209
-0.044477,0.005621
-0.04444,-0.006746
-0.044436,-0.004053
-0.044413,-0.0017760.002578
-0.044393,-0.008869
-0.044364,-0.002453
-0.044295,0.000812
-0.04428,-0.002985
-0.044277,-0.003579
-0.044193,-0.005218
-0.04418,-0.001611
-0.044146,5.6e-05
-0.044128,0.005165
-0.044106,-0.0048
-0.044086,0.007258
-0.044069,-0.005916
-0.044029,0.008377
-0.043941,0.002992
-0.043918,-0.000979
-0.043909,-0.007279
-0.043898,0.003936
-0.043856,0.009572
-0.043729,9.7e-05
-0.043681,-0.010919
-0.04365,0.009006
-0.043631,0.004359
-0.043587,0.002049
-0.043561,0.006009
-0.043518,-0.003245
-0.043431,-0.008866
-0.043422,-0.012374
-0.043415,-0.003928
-0.043379,0.005649
-0.043366,0.010086
-0.04336,0.002833
-0.04335,0.00515
-0.043329,-0.001518
-0.043257,-0.000156
-0.043216,0.000993
-0.043215,-0.005257
-0.043142,0.006353
-0.043075,-0.006619
-0.043048,0.011637
-0.04302,0.003675
-0.042988,0.008928
-0.042969,0.003827
-0.042924,-0.003734
-0.042914,0.007025
-0.042864,-0.007032
-0.042852,-7.8e-05
-0.042816,-0.009657
-0.042799,0.000575
-0.04271,-0.003345
-0.042692,-0.002181
-0.042667,0.007523
-0.042616,0.009941
-0.042581,0.004495
-0.042544,-0.001112
-0.042484,-0.001624
-0.042482,-0.008247
-0.042444,-0.001342
-0.042431,-0.008244
-0.042428,0.008173
-0.042378,-0.007319
-0.042356,-0.011455
-0.042355,7e-06
-0.042354,0.002891
-0.042339,-0.004609
-0.042334,0.003631
-0.042287,0.012409
-0.04224,-0.006658
-0.042212,0.001565
-0.04221,0.002657
-0.042205,0.001247
-0.042172,-0.010166
-0.042092,0.006447
-0.042089,-0.003488
-0.042036,0.00666
-0.04199,-0.004895
-0.04198,-0.003127
-0.041961,-0.002594
-0.041916,-0.008041
-0.041877,0.005452
-0.041692,0.010131
-0.041684,0.008035
-0.041676,-0.005763
-0.041628,-0.001797
-0.0416,0.004091
-0.041594,-0.0002060.002099
-0.041544,0.000889
-0.041533,0.010607
-0.041443,-0.003673
-0.041347,0.003546
-0.041309,0.008048
-0.041278,0.007249
-0.041276,-0.009489
-0.041255,-0.010412
-0.041218,-0.008378
-0.041198,-0.007144
-0.041172,0.000929
-0.041168,0.008755
-0.041153,0.002778
-0.04115,-0.004111
-0.041097,0.011697
-0.041062,-0.004455
-0.041024,0.005188
-0.040973,0.006516
-0.040965,-0.000913
-0.040934,-0.002919
-0.04093,-0.005297
-0.040925,-0.001765
-0.04092,0.001327
-0.04091,0.002606
-0.040898,0.004588
-0.040887,0.010637
-0.040846,-0.011362
-0.040806,-0.008746
-0.040775,-0.006253
-0.040755,-0.00628
-0.04074,-0.002665
-0.040724,0.000648
-0.040677,0.001578
-0.040582,0.005954
-0.040576,0.004607
-0.040551,-0.001048
-0.04054,0.000263
-0.040523,0.003582
-0.040505,0.013243
-0.040434,0.00431
-0.040433,-0.003446
-0.040361,-0.005617-0.004462
-0.040311,0.009174
-0.040308,-0.008615
-0.040285,0.009206
-0.040241,-0.000775
-0.040191,-0.012158
-0.040179,-0.010299
-0.040158,-0.001362
-0.040123,0.002652
-0.040003,0.010909
-0.039968,0.003068
-0.03996,0.005857
-0.039956,-0.003279-0.004446
-0.039944,0.007427
-0.039912,-0.006968
-0.039866,0.002405
-0.039851,0.008991
-0.039831,-0.002578
-0.0398,-0.008212
-0.03976,0.004343
-0.039739,0.000197
-0.039691,-0.009335-0.0058
-0.039682,0.006506
-0.039602,-0.00263
-0.039585,0.013114
-0.039533,0.006035
-0.039524,0.001797
-0.039494,-0.001021
-0.039445,0.004602
-0.039401,-0.007422
-0.039346,0.006123
-0.03934,-0.010393
-0.039329,-0.002293
-0.03932,-0.004718
-0.039297,-0.003843
-0.039295,-0.000964
-0.039291,0.003119
-0.039277,-0.011423
-0.039247,-0.012922
-0.039238,0.004001
-0.039187,0.001504
-0.039087,0.008574
-0.039082,0.004464
-0.039073,-0.001833
-0.039048,0.000343
-0.038998,0.007936
-0.038979,-0.007742
-0.038969,-0.006115
-0.038961,-0.004546
-0.038935,-0.00085
-0.038929,0.001895
-0.038874,-0.006907
-0.038812,-0.000494
-0.038811,0.003816
-0.0388,-0.006437
-0.038783,0.01069
-0.03872,-0.002807
-0.03868,0.004564
-0.03866,0.011595
-0.038651,-0.000148
-0.038638,-0.008805
-0.038634,0.006742
-0.03863,0.008992
-0.038608,0.002229
-0.038599,0.003014
-0.038513,-0.003475
-0.038506,0.004997
-0.038493,-0.011178
-0.038471,0.001429
-0.038465,-0.005003
-0.038447,-0.005325
-0.038443,0.000994
-0.038409,0.000532
-0.038401,0.012421
-0.038313,0.001457
-0.038263,0.008642
-0.038253,0.005641
-0.038206,-0.001903
-0.038181,-0.00821
-0.038177,0.00053
-0.038144,0.007141
-0.038138,0.004781
-0.038127,-0.001529
-0.03812,-0.004379
-0.037985,-0.008997
-0.037972,0.001716
-0.037966,-0.003572
-0.037957,-0.002563
-0.037952,-0.003969
-0.037906,-0.005952
-0.037898,0.009759
-0.037883,-0.013238
-0.037868,-0.011254
-0.037848,0.006997
-0.037825,-0.000569
-0.037773,0.011729
-0.037763,-0.011244
-0.037704,0.005582
-0.037678,-0.002179
-0.037645,0.003627
-0.037607,-0.003588
-0.037533,0.00827
-0.037456,5.2e-05
-0.037454,0.006233
-0.037447,-0.009742
-0.037433,-0.001466
-0.037408,-0.007536
-0.037382,0.001714
-0.037378,0.002441
-0.037345,0.002759
-0.037322,0.002025
-0.037281,0.003259
-0.037268,-0.005815
-0.037191,-0.003128
-0.037176,0.010371
-0.037159,-0.012397
-0.037134,0.001389
-0.037122,0.006806
-0.037104,0.0001250.000603
-0.037094,0.004533
-0.037088,-0.002263
-0.03705,-0.000592
-0.037023,0.004546
-0.037018,-0.001697
-0.037008,-0.008459
-0.03697,0.00845
-0.03694,0.004826
-0.036932,-0.005274
-0.03689,-0.002598
-0.036879,-0.011238
-0.036846,-0.004102
-0.036828,-0.006708
-0.036768,0.006518
-0.036736,-0.000946
-0.036589,0.011498
-0.036584,-0.00439
-0.03651,-0.006205
-0.036494,0.002343
-0.036429,0.001203
-0.036424,-0.003067
-0.036404,0.005339
-0.036396,-0.009621
-0.036374,0.00319
-0.036286,-0.011606
-0.036264,0.003924
-0.036192,0.006049
-0.036189,-0.00043
-0.036179,-0.008891
-0.036132,-0.001957
-0.036126,0.00749
-0.036081,-0.005118
-0.036057,0.008339
-0.036031,0.001491
-0.03602,-0.004045
-0.035968,0.009858
-0.035933,0.004599
-0.035909,-0.000832
-0.035894,-0.006947
-0.035892,-0.003069
-0.035821,-0.007361
-0.035812,7.1e-05
-0.035795,-0.004524
-0.035779,-0.009575
-0.035777,0.003285
-0.035762,-0.001702
-0.035656,0.003682
-0.035642,-0.010383
-0.035636,0.00769
-0.035628,0.002741
-0.035595,-0.006405
-0.035499,0.0058650.008802
-0.03549,-0.001541
-0.035487,-0.000448
-0.035468,0.003972
-0.035464,0.001221
-0.035451,-0.0029
-0.03545,-0.000439
-0.035417,0.001504
-0.03541,0.00921
-0.035397,-0.012525
-0.035338,0.006911
-0.035262,0.002421
-0.035238,0.011462
-0.035161,0.001026
-0.035112,0.008351
-0.035089,0.006868
-0.035062,5.8e-05
-0.034954,-0.007852
-0.034953,-0.010301
-0.034934,-7.2e-05
-0.034931,-0.005201
-0.034891,0.006114
-0.034861,0.002982
-0.034822,0.005171
-0.034807,-0.001794
-0.034775,-0.002429
-0.034771,-0.00411
-0.034755,0.002929
-0.034708,-0.005208
-0.034686,-0.003446
-0.034634,0.004768
-0.034624,-0.001061
-0.034622,0.002169
-0.034603,0.009998
-0.034581,0.003654
-0.034579,0.000142
-0.034561,0.006823
-0.034548,0.009281
-0.034517,0.012017
-0.034488,0.00204
-0.034475,-0.011593
-0.03442,-0.007697
-0.034399,-0.002933
-0.03438,0.0105
-0.034368,-0.009175
-0.034355,0.001057
-0.034269,-0.00707
-0.034188,-0.00798
-0.034185,-0.003539
-0.034178,0.00162
-0.03416,0.003842
-0.034114,0.000178
-0.034068,0.005586
-0.034067,0.007268
-0.034036,0.001515
-0.034023,-0.003712
-0.034009,-0.004216
-0.033958,0.004835
-0.033911,0.002685
-0.033871,-0.005397
-0.033858,-0.000604
-0.033851,-0.001439
-0.033821,-0.001635
-0.033816,-0.006017
-0.033733,-0.001835
-0.033729,0.007616
-0.033699,0.008173
-0.033677,0.002488
-0.033666,0.006741
-0.033656,-0.004794
-0.033564,-0.008276
-0.03354,0.004871
-0.033443,0.005306
-0.033426,-0.006324
-0.033406,-0.009838
-0.033356,0.00239
-0.033316,0.001401
-0.033299,-0.000611
-0.033275,-0.002428
-0.033261,0.007698
-0.033237,-0.006957
-0.033226,0.00143
-0.033201,-0.005235
-0.033168,0.00926
-0.033149,-0.000325
-0.033127,0.001632
-0.033097,0.009113
-0.03306,-0.003757
-0.033008,0.010651
-0.033005,0.008194-0.003564
-0.032919,-0.009009
-0.032795,0.004052
-0.032786,0.011646
-0.032751,0.005664
-0.03275,0.002445
-0.03272,0.000553
-0.032686,-0.001891
-0.032652,0.004155
-0.032612,0.000217
-0.032589,-0.007664
-0.032577,-0.000604
-0.032571,0.00755
-0.032494,-0.00743
-0.032481,0.003856
-0.032472,-0.005402
-0.032447,0.009304
-0.032406,0.005821
-0.032381,0.003834
-0.032315,-0.003277
-0.0323,0.001397
-0.032257,-0.004517
-0.032242,-0.000846
-0.03221,-0.003681
-0.032189,0.006454
-0.032165,0.000747
-0.031997,-0.008422
-0.031984,-0.009351
-0.031954,0.010065
-0.031928,0.004395
-0.031912,0.008899
-0.031873,0.003015
-0.031855,0.003684
-0.031839,0.005194
-0.031835,0.001496
-0.031832,-0.001879
-0.031823,-0.002931
-0.031787,0.000417
-0.031756,0.004791
-0.031702,0.006831
-0.031637,-0.002763
-0.031627,-0.006342
-0.03162,-0.005449
-0.031606,-0.006177
-0.031504,0.007772
-0.031458,0.009856
-0.031418,-0.007869
-0.031166,-0.001417
-0.03113,-0.006723
-0.03108,-0.008622
-0.031027,-0.001637
-0.031022,0.0086250.004124
-0.031,0.005116
-0.030975,0.001821
-0.030957,-0.007623
-0.030914,0.006115
-0.030788,0.007843
-0.030782,-0.005854
-0.030772,-0.000546
-0.03066,0.003808
-0.030635,0.002183
-0.030587,-0.008189
-0.030539,0.002952
-0.030509,0.000704
-0.030442,-0.003158
-0.03043,-0.004477
-0.03042,0.008775
-0.030403,0.011288
-0.030244,0.004897
-0.030184,0.007144
-0.030169,0.002295
-0.030137,-0.003841
-0.030125,0.006539
-0.030073,0.00361
-0.030068,-0.004965
-0.030056,0.00828
-0.030046,-0.009598
-0.030031,0.004792
-0.029995,0.006032
-0.029864,-0.007825
-0.029848,-0.001033
-0.029802,0.010633
-0.029733,-0.000336
-0.029672,-0.007038
-0.029653,0.009706
-0.029622,-0.002167
